name,city,statenam,state,year,sworn,civil,elecyear,governor,murder,rape,robbery,assault,burglary,larceny,auto,rincpc,econgrow,unemp,citypop,term2,term3,term4,a0_5,a5_9,a10_14,a15_19,a20_24,a25_29,citybla,cityfemh,sta_educ,sta_welf,price,termlim,jid,mayor,date_wa,date_my,web
houston,19,tx,43,1977,2817,770,1,0,376,965,6153,1810,33419,60839,13726,11.49339294433594,.0354454517364502,.0535799860954285,1613303,1,0,0,.0870434641838074,.0890213251113892,.0881469249725342,.089194655418396,.0995641350746155,.104089617729187,26.90998840332031,11.70999908447266,719.4716796875,155.115478515625,.6059999465942383,0,109,1,Jan-78,.,0
houston,19,tx,43,1978,2988,795,0,1,484,1098,7352,1918,37894,65834,17420,12.0843505859375,.0501387119293213,.0481700003147125,1486489,1,0,0,.0861876010894775,.0870772004127502,.0861414074897766,.0888063907623291,.1010990738868713,.1065060496330261,27.13999938964844,11.63999938964844,763.80322265625,141.104248046875,.6519999504089355,0,109,0,Jan-80,.,0
houston,19,tx,43,1979,3012,819,1,0,654,1481,9311,2770,48952,54008,24572,12.16803741455078,.0069015026092529,.042169988155365,1619644,1,0,0,.0853869318962097,.0852583050727844,.0842650532722473,.0884431004524231,.1025351285934448,.1087667346000671,27.3699951171875,11.56999969482422,713.49853515625,144.6280517578125,.7259998321533203,0,109,1,Jan-80,.,0
houston,19,tx,43,1980,3070,831,0,0,633,1439,10864,2851,49280,50719,28140,11.89076995849609,-.02305006980896,.0522499978542328,1557575,1,0,0,.0846362113952637,.0835529565811157,.0825058221817017,.0881025195121765,.1038815379142761,.1108863949775696,27.59999084472656,11.5,702.66943359375,127.4271240234375,.8239998817443848,0,109,0,Nov-81,Nov-79,0
houston,19,tx,43,1981,3214,821,1,0,,,,,,,,12.23790740966797,.0287752151489258,.0529199838638306,1621897,1,0,0,.0850371122360229,.083495020866394,.081676721572876,.0865190029144287,.1007627248764038,.1091583967208862,27.64999389648438,11.80999755859375,675.46728515625,134.21337890625,.9089999198913574,0,109,1,Nov-81,.,0
houston,19,tx,43,1982,3345,1074,0,1,678,1270,12392,3461,53305,61747,33210,12.11038208007813,-.0104751586914063,.0684999823570251,1679607,1,0,0,.0854228734970093,.0834392309188843,.0808790326118469,.0849955677986145,.0977621078491211,.107495903968811,27.69999694824219,12.1199951171875,674.01953125,113.1566162109375,.9649996757507324,0,109,0,Nov-83,.,0
houston,19,tx,43,1983,3716,1423,1,0,561,1179,10270,3909,41613,63235,30799,11.99247741699219,-.0097835063934326,.0799199938774109,1728783,1,0,0,.08579421043396,.0833855867385864,.0801109671592712,.0835287570953369,.0948731303215027,.1058952808380127,27.75,12.43000030517578,751.361328125,125.5654907226563,.995999813079834,0,109,1,Nov-83,Jan-84,0
houston,19,tx,43,1984,3957,1306,0,0,473,1269,9157,4256,38201,67038,28805,12.30430603027344,.025670051574707,.0593299865722656,1805783,1,0,0,.0861520767211914,.0833338499069214,.0793709754943848,.0821155309677124,.0920896530151367,.1043530702590942,27.79998779296875,12.73999786376953,762.4765625,126.4808349609375,1.038999557495117,0,109,0,Nov-85,.,0
houston,19,tx,43,1985,4363,1345,1,0,457,1711,9589,4704,40207,67496,31746,12.52874755859375,.0180764198303223,.0700799822807312,1746375,1,0,0,.0864970088005066,.0832840204238892,.0786575675010681,.0807530283927917,.0894060134887695,.1028662323951721,27.84999084472656,13.04999542236328,800.5,126.3141479492188,1.07599925994873,0,109,1,Nov-85,.,0
houston,19,tx,43,1986,4618,1184,0,1,408,1524,10926,7718,44530,68856,34188,12.31320953369141,-.0173535346984863,.0888299942016602,1779677,1,0,0,.0868298411369324,.0832359194755554,.0779692530632019,.0794385075569153,.0868169069290161,.1014317274093628,27.89999389648438,13.35999298095703,845.29052734375,128.273193359375,1.095999717712402,0,109,0,Nov-87,.,0
